Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-07,0.24,0.265,0.225,0.25,0.25,1465420
2025-04-08,0.25,0.26,0.245,0.26,0.26,426357
2025-04-09,0.27,0.27,0.245,0.25,0.25,543347
2025-04-10,0.265,0.285,0.26,0.26,0.26,1882395
2025-04-11,0.255,0.26,0.25,0.255,0.255,603839
2025-04-14,0.255,0.26,0.25,0.255,0.255,327400
2025-04-15,0.27,0.32,0.2675,0.3,0.3,2038596
2025-04-16,0.305,0.305,0.28,0.285,0.285,774342
2025-04-17,0.29,0.3,0.275,0.28,0.28,503559
2025-04-22,0.28,0.28,0.265,0.27,0.27,570919
2025-04-23,0.27,0.295,0.27,0.285,0.285,1175498
2025-04-24,0.285,0.2875,0.28,0.28,0.28,482037
2025-04-28,0.29,0.29,0.28,0.285,0.285,1009324
2025-04-29,0.285,0.3,0.275,0.3,0.3,1497931
2025-04-30,0.3,0.32,0.2775,0.32,0.32,1663341
2025-05-01,0.295,0.31,0.29,0.305,0.305,630030
2025-05-02,0.3,0.305,0.295,0.295,0.295,987578
2025-05-05,0.325,0.335,0.3,0.3,0.3,1807442
2025-05-06,0.31,0.31,0.2825,0.285,0.285,1326160
2025-05-07,0.285,0.3,0.28,0.3,0.3,251709
2025-05-08,0.3,0.3,0.29,0.295,0.295,426539
2025-05-09,0.3,0.305,0.285,0.285,0.285,290279
2025-05-12,0.29,0.31,0.285,0.29,0.29,208473
2025-05-13,0.3,0.3,0.2875,0.295,0.295,255413
2025-05-14,0.305,0.305,0.285,0.295,0.295,358486
2025-05-15,0.3,0.3,0.28,0.28,0.28,468373
2025-05-16,0.28,0.285,0.275,0.28,0.28,518310
2025-05-19,0.285,0.285,0.275,0.275,0.275,145095
2025-05-20,0.275,0.28,0.26,0.26,0.26,1144950
2025-05-21,0.26,0.265,0.26,0.265,0.265,439580
2025-05-22,0.265,0.265,0.25,0.25,0.25,418135
2025-05-23,0.25,0.265,0.25,0.26,0.26,464197
2025-05-26,0.28,0.305,0.275,0.305,0.305,1313825
2025-05-27,0.305,0.355,0.3,0.35,0.35,2158117
2025-05-28,0.39,0.395,0.335,0.335,0.335,2374844
2025-05-29,0.33,0.35,0.33,0.35,0.35,387728
2025-05-30,0.35,0.36,0.335,0.34,0.34,528080
2025-06-02,0.34,0.345,0.31,0.315,0.315,713287
2025-06-03,0.31,0.31,0.2975,0.305,0.305,571528
2025-06-04,0.3,0.315,0.2925,0.305,0.305,445781
2025-06-05,0.305,0.315,0.305,0.315,0.315,271815
2025-06-06,0.315,0.32,0.3,0.3,0.3,382096
2025-06-10,0.3,0.305,0.285,0.3,0.3,671169
2025-06-11,0.31,0.31,0.2825,0.285,0.285,1140577
2025-06-12,0.29,0.2925,0.285,0.29,0.29,270005
2025-06-13,0.29,0.29,0.275,0.29,0.29,1097104
2025-06-16,0.285,0.29,0.265,0.265,0.265,1414969
2025-06-17,0.275,0.285,0.265,0.265,0.265,1955133
2025-06-18,0.265,0.265,0.255,0.26,0.26,1444418
2025-06-19,0.255,0.26,0.25,0.25,0.25,678297
2025-06-20,0.255,0.2625,0.25,0.26,0.26,891149
2025-06-23,0.26,0.26,0.245,0.245,0.245,967826
2025-06-24,0.245,0.26,0.245,0.25,0.25,1196450
2025-06-25,0.255,0.265,0.25,0.25,0.25,735366
2025-06-26,0.255,0.255,0.25,0.25,0.25,760672
2025-06-27,0.255,0.255,0.2325,0.24,0.24,3384009
2025-06-30,0.24,0.25,0.235,0.24,0.24,1015747
2025-07-01,0.235,0.26,0.235,0.245,0.245,1059306
2025-07-02,0.255,0.255,0.24,0.245,0.245,642931
2025-07-03,0.245,0.245,0.235,0.24,0.24,634741
2025-07-04,0.24,0.25,0.24,0.245,0.245,262603
2025-07-07,0.245,0.255,0.2375,0.24,0.24,689537
2025-07-08,0.24,0.25,0.235,0.25,0.25,250064
2025-07-09,0.245,0.245,0.23,0.23,0.23,990301
2025-07-10,0.235,0.235,0.23,0.235,0.235,621394
2025-07-11,0.235,0.24,0.23,0.235,0.235,523813
2025-07-14,0.235,0.24,0.235,0.24,0.24,586029
2025-07-15,0.24,0.25,0.24,0.25,0.25,404332
2025-07-16,0.25,0.265,0.25,0.26,0.26,922030
2025-07-17,0.255,0.265,0.25,0.25,0.25,388022
2025-07-18,0.265,0.27,0.26,0.265,0.265,1578070
2025-07-21,0.265,0.265,0.255,0.265,0.265,181065
2025-07-22,0.265,0.265,0.25,0.255,0.255,322235
2025-07-23,0.255,0.26,0.25,0.25,0.25,427121
2025-07-24,0.255,0.265,0.25,0.26,0.26,406346
2025-07-25,0.255,0.26,0.25,0.25,0.25,753467
2025-07-28,0.26,0.26,0.24,0.24,0.24,544026
2025-07-29,0.245,0.25,0.235,0.235,0.235,1510564
2025-07-30,0.235,0.24,0.23,0.24,0.24,627089
2025-07-31,0.235,0.24,0.23,0.24,0.24,480450
2025-08-01,0.31,0.34,0.275,0.305,0.305,13813051
2025-08-04,0.305,0.37,0.305,0.355,0.355,4846785
2025-08-05,0.36,0.375,0.33,0.335,0.335,2644022
2025-08-06,0.335,0.3975,0.335,0.395,0.395,4536883
2025-08-07,0.385,0.485,0.38,0.475,0.475,5573445
2025-08-08,0.475,0.475,0.425,0.425,0.425,3222289
2025-08-11,0.45,0.48,0.44,0.48,0.48,5479786
2025-08-12,0.48,0.4875,0.45,0.45,0.45,2712318
2025-08-13,0.46,0.505,0.45,0.49,0.49,3379812
2025-08-14,0.5,0.56,0.465,0.53,0.53,4873930
2025-08-15,0.55,0.595,0.54,0.57,0.57,5382460
2025-08-18,0.59,0.6,0.565,0.575,0.575,3209006
2025-08-19,0.575,0.585,0.545,0.56,0.56,1580185
2025-08-20,0.57,0.57,0.52,0.52,0.52,1307250
2025-08-21,0.52,0.56,0.505,0.555,0.555,2212817
2025-08-22,0.55,0.57,0.5275,0.535,0.535,1787946
2025-08-25,0.535,0.555,0.535,0.54,0.54,549152
