Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-07,0.34,0.34,0.3,0.325,0.325,899801
2025-04-08,0.325,0.34,0.3225,0.34,0.34,308197
2025-04-09,0.35,0.3575,0.335,0.35,0.35,2119304
2025-04-10,0.37,0.4,0.37,0.395,0.395,709076
2025-04-11,0.4,0.42,0.39,0.42,0.42,1063250
2025-04-14,0.42,0.42,0.42,0.42,0.42,0
2025-04-15,0.42,0.42,0.42,0.42,0.42,0
2025-04-16,0.43,0.435,0.4125,0.42,0.42,814003
2025-04-17,0.415,0.42,0.4,0.42,0.42,793470
2025-04-22,0.41,0.41,0.405,0.405,0.405,466999
2025-04-23,0.405,0.405,0.385,0.39,0.39,246977
2025-04-24,0.4,0.415,0.39,0.415,0.415,499097
2025-04-28,0.405,0.405,0.395,0.395,0.395,231728
2025-04-29,0.4,0.4,0.385,0.39,0.39,301940
2025-04-30,0.39,0.395,0.39,0.39,0.39,44286
2025-05-01,0.39,0.39,0.38,0.38,0.38,176799
2025-05-02,0.385,0.385,0.38,0.385,0.385,27413
2025-05-05,0.4,0.4,0.385,0.385,0.385,264394
2025-05-06,0.385,0.385,0.38,0.38,0.38,87201
2025-05-07,0.38,0.38,0.365,0.365,0.365,139150
2025-05-08,0.365,0.38,0.365,0.375,0.375,174887
2025-05-09,0.385,0.385,0.375,0.385,0.385,92999
2025-05-12,0.385,0.39,0.375,0.375,0.375,224532
2025-05-13,0.375,0.38,0.365,0.365,0.365,242465
2025-05-14,0.37,0.375,0.37,0.375,0.375,11616
2025-05-15,0.37,0.37,0.36,0.36,0.36,89578
2025-05-16,0.36,0.36,0.355,0.355,0.355,64267
2025-05-19,0.355,0.355,0.34,0.34,0.34,183790
2025-05-20,0.34,0.35,0.34,0.35,0.35,148454
2025-05-21,0.35,0.38,0.35,0.375,0.375,279042
2025-05-22,0.38,0.405,0.38,0.4,0.4,457814
2025-05-23,0.39,0.4,0.385,0.395,0.395,146342
2025-05-26,0.4,0.405,0.395,0.405,0.405,622521
2025-05-27,0.4,0.41,0.4,0.41,0.41,273317
2025-05-28,0.405,0.415,0.405,0.415,0.415,535868
2025-05-29,0.415,0.42,0.405,0.405,0.405,463603
2025-05-30,0.42,0.48,0.42,0.47,0.47,527562
2025-06-02,0.44,0.455,0.44,0.44,0.44,169489
2025-06-03,0.45,0.47,0.44,0.45,0.45,205917
