Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-07,0.006,0.006,0.006,0.006,0.006,13681507
2025-04-08,0.006,0.006,0.005,0.005,0.005,3067226
2025-04-09,0.0055,0.006,0.0055,0.006,0.006,4945000
2025-04-10,0.006,0.006,0.006,0.006,0.006,5504766
2025-04-11,0.006,0.006,0.006,0.006,0.006,4049271
2025-04-14,0.006,0.006,0.005,0.005,0.005,3596198
2025-04-15,0.006,0.006,0.006,0.006,0.006,11308736
2025-04-16,0.006,0.006,0.005,0.006,0.006,21188819
2025-04-17,0.006,0.006,0.0055,0.006,0.006,8591036
2025-04-22,0.006,0.0075,0.006,0.007,0.007,59228074
2025-04-23,0.007,0.007,0.006,0.006,0.006,6562812
2025-04-24,0.007,0.008,0.007,0.007,0.007,11756092
2025-04-28,0.007,0.008,0.0065,0.007,0.007,12862744
2025-04-29,0.007,0.01,0.007,0.009,0.009,43908802
2025-04-30,0.01,0.011,0.009,0.01,0.01,26097238
2025-05-01,0.011,0.012,0.009,0.009,0.009,38989902
2025-05-02,0.01,0.03,0.0095,0.027,0.027,232682684
2025-05-05,0.028,0.0285,0.02,0.022,0.022,125187912
2025-05-06,0.029,0.038,0.028,0.037,0.037,215297322
2025-05-07,0.032,0.043,0.029,0.043,0.043,121551775
2025-05-08,0.042,0.047,0.038,0.04,0.04,120278623
2025-05-09,0.037,0.038,0.034,0.036,0.036,77878977
2025-05-12,0.035,0.036,0.032,0.032,0.032,29961712
2025-05-13,0.032,0.037,0.026,0.029,0.029,115652956
2025-05-14,0.028,0.031,0.028,0.028,0.028,46959172
2025-05-15,0.028,0.033,0.027,0.032,0.032,48847090
2025-05-16,0.04,0.041,0.037,0.039,0.039,95708641
2025-05-19,0.039,0.041,0.033,0.037,0.037,62236680
2025-05-20,0.044,0.053,0.042,0.052,0.052,107575888
2025-05-21,0.053,0.054,0.043,0.044,0.044,86705478
2025-05-22,0.042,0.05,0.042,0.05,0.05,37565150
2025-05-23,0.05,0.057,0.05,0.055,0.055,112908656
