Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-07,0.14,0.14,0.13,0.135,0.135,24915424
2025-04-08,0.13,0.145,0.13,0.14,0.14,10458921
2025-04-09,0.14,0.14,0.13,0.14,0.14,7766036
2025-04-10,0.15,0.16,0.145,0.16,0.16,13086723
2025-04-11,0.16,0.17,0.155,0.165,0.165,15711732
2025-04-14,0.165,0.165,0.155,0.16,0.16,9202181
2025-04-15,0.16,0.165,0.155,0.16,0.16,8569559
2025-04-16,0.16,0.17,0.16,0.165,0.165,10801119
2025-04-17,0.17,0.17,0.16,0.16,0.16,9528103
2025-04-22,0.165,0.17,0.155,0.16,0.16,15907076
2025-04-23,0.155,0.16,0.1425,0.15,0.15,17543798
2025-04-24,0.15,0.155,0.145,0.15,0.15,7739272
2025-04-28,0.155,0.155,0.145,0.145,0.145,7849980
2025-04-29,0.15,0.155,0.145,0.155,0.155,8645275
2025-04-30,0.15,0.155,0.145,0.15,0.15,7549424
2025-05-01,0.145,0.1475,0.14,0.145,0.145,8960161
2025-05-02,0.14,0.145,0.1325,0.145,0.145,12897083
2025-05-05,0.145,0.145,0.135,0.135,0.135,5387556
2025-05-06,0.14,0.15,0.1375,0.14,0.14,14326267
2025-05-07,0.15,0.15,0.14,0.145,0.145,4759015
2025-05-08,0.14,0.15,0.14,0.15,0.15,10979202
2025-05-09,0.145,0.1475,0.1425,0.145,0.145,7492353
2025-05-12,0.14,0.1475,0.14,0.14,0.14,6620945
2025-05-13,0.135,0.14,0.125,0.13,0.13,32261730
2025-05-14,0.13,0.14,0.13,0.135,0.135,5414396
2025-05-15,0.135,0.135,0.125,0.125,0.125,7578513
2025-05-16,0.135,0.14,0.1225,0.125,0.125,22190168
2025-05-19,0.125,0.135,0.125,0.125,0.125,10114411
2025-05-20,0.13,0.135,0.13,0.13,0.13,3618377
2025-05-21,0.135,0.1375,0.13,0.135,0.135,5339761
2025-05-22,0.135,0.145,0.135,0.145,0.145,7624136
2025-05-23,0.14,0.145,0.1375,0.14,0.14,6134598
2025-05-26,0.145,0.155,0.14,0.15,0.15,10421513
2025-05-27,0.145,0.15,0.14,0.145,0.145,4682866
2025-05-28,0.145,0.15,0.14,0.14,0.14,3132830
2025-05-29,0.145,0.145,0.13,0.135,0.135,14056384
2025-05-30,0.14,0.1475,0.14,0.145,0.145,8595087
2025-06-02,0.145,0.165,0.145,0.155,0.155,23723201
2025-06-03,0.165,0.165,0.155,0.165,0.165,11086098
2025-06-04,0.165,0.165,0.155,0.155,0.155,11681667
2025-06-05,0.16,0.165,0.155,0.155,0.155,7557583
2025-06-06,0.16,0.165,0.1575,0.16,0.16,6528869
2025-06-10,0.16,0.165,0.155,0.155,0.155,5120674
2025-06-11,0.16,0.1675,0.155,0.16,0.16,12824839
2025-06-12,0.165,0.185,0.165,0.175,0.175,30079329
2025-06-13,0.175,0.185,0.175,0.18,0.18,20074476
2025-06-16,0.185,0.185,0.175,0.175,0.175,7562156
2025-06-17,0.175,0.175,0.175,0.175,0.175,0
2025-06-18,0.175,0.175,0.175,0.175,0.175,0
2025-06-19,0.16,0.16,0.145,0.15,0.15,50768229
2025-06-20,0.15,0.16,0.15,0.155,0.155,19011140
2025-06-23,0.155,0.16,0.145,0.15,0.15,17286993
2025-06-24,0.145,0.15,0.1425,0.145,0.145,11614561
2025-06-25,0.15,0.155,0.14,0.155,0.155,18833349
2025-06-26,0.155,0.155,0.14,0.145,0.145,19406704
2025-06-27,0.15,0.15,0.14,0.14,0.14,14585534
2025-06-30,0.145,0.145,0.135,0.145,0.145,10681828
2025-07-01,0.145,0.15,0.145,0.145,0.145,4377361
2025-07-02,0.15,0.155,0.1375,0.145,0.145,18644379
2025-07-03,0.145,0.15,0.14,0.15,0.15,13034081
2025-07-04,0.15,0.15,0.14,0.145,0.145,6797913
2025-07-07,0.145,0.145,0.135,0.14,0.14,19768273
2025-07-08,0.14,0.15,0.14,0.145,0.145,9043279
2025-07-09,0.145,0.1475,0.135,0.14,0.14,14918858
2025-07-10,0.135,0.145,0.135,0.14,0.14,6754551
2025-07-11,0.14,0.14,0.13,0.135,0.135,16689030
2025-07-14,0.135,0.145,0.135,0.14,0.14,7754322
2025-07-15,0.14,0.15,0.14,0.14,0.14,8791458
2025-07-16,0.14,0.145,0.135,0.14,0.14,7605937
2025-07-17,0.14,0.145,0.135,0.135,0.135,5571210
2025-07-18,0.135,0.14,0.13,0.14,0.14,8258874
2025-07-21,0.14,0.145,0.135,0.145,0.145,15065584
2025-07-22,0.15,0.16,0.145,0.155,0.155,17744720
2025-07-23,0.155,0.16,0.15,0.15,0.15,10935371
2025-07-24,0.15,0.155,0.145,0.15,0.15,12594008
2025-07-25,0.15,0.15,0.14,0.14,0.14,8426711
2025-07-28,0.14,0.145,0.135,0.14,0.14,4832797
2025-07-29,0.135,0.145,0.135,0.14,0.14,7605652
2025-07-30,0.14,0.145,0.135,0.14,0.14,4872592
2025-07-31,0.14,0.145,0.135,0.14,0.14,9093699
2025-08-01,0.14,0.14,0.135,0.135,0.135,11606904
2025-08-04,0.14,0.145,0.135,0.14,0.14,13541704
2025-08-05,0.14,0.145,0.135,0.14,0.14,14400212
2025-08-06,0.14,0.145,0.135,0.14,0.14,9307579
2025-08-07,0.14,0.145,0.135,0.135,0.135,17815809
2025-08-08,0.14,0.155,0.14,0.155,0.155,22475109
2025-08-11,0.155,0.155,0.145,0.15,0.15,9171990
2025-08-12,0.15,0.155,0.1475,0.15,0.15,8355590
2025-08-13,0.15,0.155,0.145,0.15,0.15,8835089
2025-08-14,0.15,0.1525,0.14,0.14,0.14,14394742
2025-08-15,0.145,0.15,0.145,0.145,0.145,8365556
2025-08-18,0.145,0.145,0.14,0.145,0.145,4145014
2025-08-19,0.145,0.145,0.135,0.135,0.135,17704369
2025-08-20,0.14,0.1425,0.135,0.14,0.14,10649517
2025-08-21,0.14,0.145,0.135,0.14,0.14,10317712
2025-08-22,0.14,0.1425,0.135,0.14,0.14,9052052
2025-08-25,0.145,0.15,0.14,0.15,0.15,17380920
2025-08-26,0.15,0.155,0.145,0.155,0.155,15326615
2025-08-27,0.155,0.155,0.15,0.155,0.155,11789192
2025-08-28,0.155,0.155,0.145,0.145,0.145,7047865
