Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-07,4.79,4.86,4.74,4.81,4.81,649209
2025-04-08,4.86,4.92,4.86,4.89,4.89,146425
2025-04-09,4.65,4.65,4.53,4.61,4.61,254639
2025-04-10,4.84,5.02,4.84,4.94,4.94,153988
2025-04-11,4.84,4.85,4.75,4.84,4.84,49891
2025-04-14,4.88,4.91,4.88,4.91,4.91,63640
2025-04-15,4.94,4.94,4.91,4.94,4.94,43949
2025-04-16,5,5,4.83,4.85,4.85,26425
2025-04-17,5,5.07,4.99,5.05,5.05,69845
2025-04-22,5.03,5.1,5.03,5.06,5.06,155158
2025-04-23,5.1,5.19,5.1,5.19,5.19,83480
2025-04-24,5,5.05,5,5.02,5.02,67256
2025-04-28,5.08,5.11,5.08,5.11,5.11,58541
2025-04-29,5.02,5.02,4.94,4.96,4.96,67653
2025-04-30,4.88,4.88,4.81,4.82,4.82,98832
2025-05-01,4.77,4.77,4.68,4.7,4.7,218654
2025-05-02,4.74,4.83,4.74,4.81,4.81,180059
2025-05-05,4.52,4.56,4.5,4.56,4.56,481237
2025-05-06,4.6,4.69,4.6,4.67,4.67,307673
2025-05-07,4.8,4.82,4.79,4.82,4.82,100904
2025-05-08,4.7,4.74,4.68,4.74,4.74,210579
2025-05-09,4.85,4.87,4.8,4.86,4.86,236493
2025-05-12,4.93,4.99,4.92,4.99,4.99,136777
2025-05-13,4.99,5,4.97,4.98,4.98,115464
2025-05-14,5.13,5.13,5.09,5.09,5.09,199430
2025-05-15,5,5.03,4.96,4.96,4.96,120464
2025-05-16,4.97,5,4.96,4.97,4.97,65076
2025-05-19,5.03,5.04,5,5,5,26611
2025-05-20,5.04,5.05,5.03,5.03,5.03,17042
2025-05-21,5.1,5.14,5.1,5.12,5.12,74917
2025-05-22,4.99,5.02,4.97,5.01,5.01,34111
2025-05-23,4.98,4.98,4.93,4.95,4.95,96021
2025-05-26,5.02,5.03,4.99,5,5,35041
2025-05-27,4.98,5,4.97,4.97,4.97,20332
2025-05-28,4.98,5,4.97,4.97,4.97,70159
2025-05-29,5.04,5.12,5.04,5.09,5.09,170029
2025-05-30,4.96,4.96,4.92,4.95,4.95,140268
2025-06-02,5.03,5.09,5.03,5.07,5.07,165305
