Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-07,37,40,37,39.67,39.67,392078
2025-04-08,35.03,35.5,34.25,35,35,173001
2025-04-09,39.08,40.3,38.22,39.26,39.26,493893
2025-04-10,28.69,30.44,28.46,29.64,29.64,338711
2025-04-11,33.33,34.28,31.9,31.9,31.9,340153
2025-04-14,30.96,31.02,30.55,30.69,30.69,108774
2025-04-15,31.56,31.61,31.33,31.46,31.46,64799
2025-04-16,32.14,32.94,32.14,32.89,32.89,123914
2025-04-17,33.9,33.9,32.7,32.7,32.7,318310
2025-04-22,35.02,35.18,34.79,34.94,34.94,60343
2025-04-23,31.79,32.27,31.7,31.85,31.85,101698
2025-04-24,31.39,32.01,31.29,31.84,31.84,231661
2025-04-28,28.97,29.17,28.88,29.02,29.02,257266
2025-04-29,28.71,28.8,28.35,28.67,28.67,139963
2025-04-30,28.54,28.81,28.53,28.59,28.59,190705
2025-05-01,27.35,27.36,27.17,27.3,27.3,268846
2025-05-02,27.75,27.83,27.1,27.3,27.3,64879
2025-05-05,26.85,27.11,26.76,26.92,26.92,64668
2025-05-06,27.05,27.37,27.04,27.3,27.3,96795
2025-05-07,26.9,27.19,26.8,27.14,27.14,58680
2025-05-08,27.19,27.22,26.49,26.62,26.62,30688
2025-05-09,26.65,26.8,26.47,26.47,26.47,42324
2025-05-12,25.72,25.73,25.39,25.42,25.42,259729
2025-05-13,24.25,24.54,24.25,24.41,24.41,202627
2025-05-14,23.26,23.31,23.12,23.15,23.15,114876
2025-05-15,22.98,23.1,22.88,23.07,23.07,61255
2025-05-16,22.87,23.01,22.83,22.93,22.93,68331
2025-05-19,22.95,23.4,22.95,23.23,23.23,138146
2025-05-20,22.57,22.86,22.5,22.86,22.86,104370
2025-05-21,22.86,23.08,22.78,23.08,23.08,100171
2025-05-22,23.57,23.57,23.41,23.46,23.46,65443
2025-05-23,23.48,23.62,23.42,23.62,23.62,90597
2025-05-26,23.44,23.46,23.32,23.39,23.39,55491
2025-05-27,23.31,23.49,23.29,23.34,23.34,24975
2025-05-28,22.68,22.79,22.67,22.73,22.73,29483
2025-05-29,21.94,22.04,21.78,21.84,21.84,164476
2025-05-30,23.06,23.15,22.86,22.91,22.91,163847
2025-06-02,23.11,23.35,23.08,23.35,23.35,46397
2025-06-03,22.64,22.78,22.64,22.74,22.74,36774
2025-06-04,22.1,22.19,22.07,22.12,22.12,32229
2025-06-05,22.04,22.07,21.98,22.03,22.03,42469
2025-06-06,22.49,22.49,22.23,22.24,22.24,43011
2025-06-10,21.81,21.86,21.5,21.84,21.84,41318
2025-06-11,21.56,21.72,21.55,21.68,21.68,31628
2025-06-12,21.8,22,21.8,21.84,21.84,39563
2025-06-13,21.91,22.62,21.91,22.41,22.41,207172
2025-06-16,22.19,22.22,22.06,22.06,22.06,44497
2025-06-17,21.88,21.92,21.71,21.74,21.74,86674
2025-06-18,22.17,22.17,21.95,21.99,21.99,42167
2025-06-19,22.08,22.43,22.08,22.34,22.34,93288
2025-06-20,22.34,22.34,22.13,22.13,22.13,37438
2025-06-23,22.52,22.64,22.41,22.41,22.41,62290
2025-06-24,21.42,21.51,21.23,21.23,21.23,157020
2025-06-25,20.98,21.05,20.96,20.99,20.99,177252
2025-06-26,20.91,20.91,20.8,20.8,20.8,58951
2025-06-27,20.45,20.47,20.36,20.37,20.37,170250
2025-06-30,20.16,20.16,20,20.01,20.01,137085
2025-07-01,19.97,20.1,19.94,20.06,20.06,542836
2025-07-02,20.34,20.42,20.23,20.23,20.23,270522
2025-07-03,20.06,20.1,20,20.02,20.02,138402
2025-07-04,19.67,19.76,19.65,19.76,19.76,50765
2025-07-07,19.76,19.87,19.76,19.86,19.86,35226
2025-07-08,20,20,19.87,19.87,19.87,134761
2025-07-09,19.94,20.03,19.94,20.03,20.03,23495
2025-07-10,19.68,19.78,19.68,19.76,19.76,161272
