Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-07,1.13,1.21,1.085,1.19,1.19,58438957
2025-04-08,1.35,1.43,1.235,1.27,1.27,29543016
2025-04-09,1.2,1.275,1.18,1.21,1.21,22959690
2025-04-10,1.51,1.54,1.395,1.46,1.46,42118529
2025-04-11,1.39,1.485,1.345,1.485,1.485,16403330
2025-04-14,1.515,1.525,1.425,1.5,1.5,16132882
2025-04-15,1.55,1.565,1.45,1.48,1.48,15339319
2025-04-16,1.7,1.81,1.625,1.72,1.72,45723438
2025-04-17,1.69,1.71,1.63,1.66,1.66,17045486
2025-04-22,1.605,1.605,1.51,1.51,1.51,20879676
2025-04-23,1.595,1.595,1.54,1.575,1.575,18630092
2025-04-24,1.595,1.7,1.59,1.675,1.675,14453798
2025-04-28,1.7,1.745,1.665,1.67,1.67,23801568
2025-04-29,1.665,1.7425,1.665,1.73,1.73,13844065
2025-04-30,1.745,1.77,1.705,1.73,1.73,10434937
2025-05-01,1.72,1.7875,1.7,1.725,1.725,13296869
2025-05-02,1.65,1.66,1.555,1.64,1.64,50243964
2025-05-05,1.685,1.705,1.61,1.615,1.615,16588102
2025-05-06,1.63,1.6525,1.61,1.615,1.615,11220971
2025-05-07,1.62,1.825,1.565,1.825,1.825,40945541
2025-05-08,1.92,1.94,1.825,1.84,1.84,34529881
2025-05-09,1.87,1.92,1.82,1.865,1.865,17995334
2025-05-12,1.85,1.875,1.78,1.825,1.825,35423385
2025-05-13,1.97,2.11,1.965,1.985,1.985,45326700
2025-05-14,2.09,2.13,2.05,2.09,2.09,26319636
2025-05-15,2.1,2.12,2.04,2.05,2.05,18078133
2025-05-16,2.06,2.12,2.045,2.1,2.1,14529767
2025-05-19,2.08,2.11,1.965,1.97,1.97,18802964
2025-05-20,2.02,2.05,1.965,2.03,2.03,17473824
2025-05-21,1.985,2.025,1.945,2,2,13951056
2025-05-22,1.905,1.93,1.835,1.87,1.87,27583147
2025-05-23,1.93,1.975,1.9,1.905,1.905,13724541
2025-05-26,1.86,1.92,1.85,1.905,1.905,17064449
2025-05-27,1.905,1.9575,1.84,1.94,1.94,18991881
2025-05-28,2,2.03,1.935,1.945,1.945,14454197
2025-05-29,1.975,2.03,1.955,2.01,2.01,14890848
2025-05-30,1.975,2.01,1.96,1.985,1.985,14908028
2025-06-02,1.99,1.995,1.915,1.935,1.935,13045550
2025-06-03,1.955,1.96,1.91,1.945,1.945,10365536
2025-06-04,1.96,2.22,1.955,2.21,2.21,31038451
2025-06-05,2.2,2.3,2.18,2.24,2.24,19439062
2025-06-06,2.21,2.24,2.16,2.19,2.19,9518631
2025-06-10,2.25,2.35,2.245,2.33,2.33,15647451
2025-06-11,2.63,2.78,2.62,2.69,2.69,53055691
2025-06-12,2.71,2.75,2.66,2.68,2.68,17185448
2025-06-13,2.69,2.75,2.61,2.67,2.67,22239654
2025-06-16,2.65,2.69,2.575,2.64,2.64,12239415
2025-06-17,2.69,2.77,2.67,2.73,2.73,21537411
2025-06-18,2.73,2.76,2.68,2.76,2.76,7921504
2025-06-19,2.78,2.81,2.71,2.71,2.71,11555563
2025-06-20,2.74,2.9,2.7,2.87,2.87,22731797
2025-06-23,2.78,2.82,2.71,2.77,2.77,16910252
2025-06-24,2.86,2.97,2.85,2.92,2.92,17804512
2025-06-25,2.97,2.98,2.87,2.94,2.94,12604725
2025-06-26,2.93,3.015,2.89,2.95,2.95,23309688
2025-06-27,2.98,3.05,2.915,3.03,3.03,25806483
2025-06-30,3.06,3.15,3.03,3.07,3.07,18754499
2025-07-01,3.13,3.22,3.1,3.21,3.21,18333748
2025-07-02,3.13,3.14,2.99,3.04,3.04,24550694
2025-07-03,3.04,3.1,3,3.08,3.08,14378358
2025-07-04,3.11,3.13,3.04,3.05,3.05,9147544
2025-07-07,3.04,3.09,2.96,3.08,3.08,7651433
2025-07-08,3.03,3.09,2.99,3.04,3.04,11902821
2025-07-09,3,3.005,2.88,2.99,2.99,14485331
2025-07-10,3.02,3.05,2.885,2.91,2.91,14298481
2025-07-11,2.88,2.915,2.815,2.86,2.86,13344117
2025-07-14,2.8,2.8,2.66,2.78,2.78,21991206
2025-07-15,2.84,2.9,2.815,2.83,2.83,9013613
2025-07-16,2.83,2.85,2.78,2.85,2.85,7999244
2025-07-17,2.89,2.92,2.8,2.83,2.83,11898684
2025-07-18,2.87,3.07,2.82,3.05,3.05,23879150
2025-07-21,2.99,3.08,2.95,3,3,12365991
2025-07-22,2.99,3,2.92,2.95,2.95,11760456
2025-07-23,2.96,3.03,2.935,2.99,2.99,11122700
2025-07-24,3,3.17,2.99,3.13,3.13,18165090
2025-07-25,3.1,3.2,3.1,3.14,3.14,13287723
2025-07-28,3.14,3.19,3.11,3.18,3.18,11121908
2025-07-29,3.13,3.19,3.08,3.14,3.14,11146706
2025-07-30,3.12,3.17,3.04,3.16,3.16,13257275
2025-07-31,3.18,3.24,3.13,3.23,3.23,12988939
2025-08-01,3.2,3.28,3.15,3.25,3.25,13329801
2025-08-04,3.15,3.22,3.02,3.2,3.2,19359664
2025-08-05,3.3,3.42,3.29,3.39,3.39,17987669
2025-08-06,3.33,3.54,3.32,3.53,3.53,12713190
2025-08-07,3.49,3.535,3.4,3.43,3.43,12658827
2025-08-08,3.38,3.38,3.315,3.37,3.37,13489464
2025-08-11,3.28,3.365,3.215,3.28,3.28,16404837
2025-08-12,3.3,3.34,3.24,3.3,3.3,22141838
2025-08-13,3.34,3.395,3.23,3.26,3.26,12792546
2025-08-14,3.29,3.3,3.21,3.24,3.24,9965633
2025-08-15,3.21,3.25,3.18,3.24,3.24,7035933
2025-08-18,3.2,3.245,3.16,3.23,3.23,8426162
2025-08-19,3.2,3.29,3.16,3.21,3.21,9709171
2025-08-20,3.14,3.14,3.02,3.04,3.04,20833991
2025-08-21,3.04,3.155,2.98,3.12,3.12,34613125
2025-08-22,3.7,3.92,3.6,3.75,3.75,57595740
2025-08-25,3.93,4.04,3.93,4.03,4.03,29882038
2025-08-26,4,4.12,3.91,4.12,4.12,38637119
2025-08-27,4.15,4.18,4.035,4.05,4.05,21522591
2025-08-28,4.09,4.19,4.06,4.09,4.09,17849124
2025-08-29,4.25,4.33,4.22,4.26,4.26,22085018
2025-09-01,4.28,4.4,4.24,4.31,4.31,20110506
2025-09-02,4.31,4.36,4.23,4.25,4.25,10715359
2025-09-03,4.17,4.25,4.12,4.14,4.14,13025935
2025-09-04,4.17,4.3,4.17,4.29,4.29,9940805
2025-09-05,4.34,4.52,4.32,4.49,4.49,16778401
2025-09-08,4.42,4.55,4.41,4.54,4.54,11068097
2025-09-09,4.55,4.57,4.39,4.43,4.43,15649447
2025-09-10,4.42,4.55,4.41,4.54,4.54,9299970
2025-09-11,4.58,4.62,4.49,4.59,4.59,12928485
2025-09-12,4.63,4.7,4.5,4.51,4.51,13079677
2025-09-15,4.52,4.59,4.43,4.52,4.52,11312364
2025-09-16,4.56,4.63,4.52,4.56,4.56,8518328
2025-09-17,4.51,4.54,4.37,4.45,4.45,8912096
2025-09-18,4.49,4.59,4.41,4.55,4.55,7139827
2025-09-19,4.63,4.75,4.61,4.66,4.66,31590482
2025-09-22,4.68,4.725,4.65,4.65,4.65,9284365
2025-09-23,4.65,4.78,4.6,4.6,4.6,9196532
2025-09-24,4.51,4.52,4.37,4.43,4.43,11047579
2025-09-25,4.45,4.46,4.375,4.4,4.4,8214091
2025-09-26,4.35,4.4,4.31,4.35,4.35,6080238
2025-09-29,4.38,4.47,4.37,4.43,4.43,9268401
2025-09-30,4.43,4.52,4.4,4.42,4.42,12865938
2025-10-01,4.4,4.54,4.34,4.53,4.53,10886469
2025-10-02,4.55,4.64,4.5,4.64,4.64,9445859
2025-10-03,4.63,4.8,4.61,4.8,4.8,10761625
2025-10-06,4.83,4.83,4.64,4.72,4.72,8161152
2025-10-07,4.74,4.8,4.66,4.66,4.66,10255682
2025-10-08,4.66,4.815,4.65,4.8,4.8,18154484
2025-10-09,4.81,4.84,4.66,4.71,4.71,11737695
2025-10-10,4.71,4.86,4.67,4.81,4.81,7683612
2025-10-13,4.68,4.77,4.55,4.64,4.64,19733797
2025-10-14,4.68,4.7,4.605,4.65,4.65,8317344
2025-10-15,4.68,4.68,4.6,4.64,4.64,6633529
2025-10-16,4.69,4.7,4.49,4.55,4.55,8689456
2025-10-17,4.5,4.56,4.38,4.42,4.42,15641057
2025-10-20,4.84,4.93,4.51,4.61,4.61,23283297
2025-10-21,4.61,4.66,4.16,4.19,4.19,27808360
2025-10-22,4.27,4.29,4,4.12,4.12,22918286
2025-10-23,4.03,4.06,3.93,4.01,4.01,18668121
2025-10-24,4.07,4.17,3.96,3.97,3.97,14283024
2025-10-27,4.1,4.21,4.08,4.09,4.09,15187519
2025-10-28,4.12,4.125,3.97,4.1,4.1,12074855
2025-10-29,4.05,4.1,3.98,4,4,16979586
2025-10-30,3.95,3.97,3.84,3.91,3.91,16947603
2025-10-31,3.92,3.94,3.855,3.87,3.87,7316026
2025-11-03,3.91,4.01,3.88,3.94,3.94,8377691
2025-11-04,3.94,3.945,3.83,3.87,3.87,5568239
2025-11-05,3.8,3.82,3.65,3.77,3.77,12604630
2025-11-06,3.85,3.87,3.53,3.61,3.61,14819821
2025-11-07,3.49,3.555,3.3,3.37,3.37,21093141
2025-11-10,3.555,3.585,3.48,3.52,3.52,17595998
2025-11-11,3.62,3.64,3.47,3.5,3.5,10491439
2025-11-12,3.52,3.54,3.24,3.31,3.31,21166358
2025-11-13,3.3,3.3,3.15,3.24,3.24,19804827
2025-11-14,3.09,3.15,3.02,3.14,3.14,17675400
2025-11-17,3.13,3.22,3.1,3.14,3.14,10686455
2025-11-18,3.08,3.08,2.9,2.94,2.94,19938500
2025-11-19,2.91,2.93,2.835,2.84,2.84,18344949
2025-11-20,2.95,3.08,2.94,2.98,2.98,20549699
2025-11-21,2.87,2.91,2.83,2.85,2.85,15446935
2025-11-24,2.95,2.99,2.88,2.97,2.97,22015873
2025-11-25,3.06,3.09,2.98,3,3,17368827
2025-11-26,3.13,3.25,3.1,3.2,3.2,21863110
2025-11-27,3.26,3.4,3.23,3.37,3.37,20828438
2025-11-28,3.38,3.46,3.33,3.4,3.4,11160258
2025-12-01,3.46,3.46,3.3,3.3,3.3,13881708
2025-12-02,3.19,3.21,2.9,2.95,2.95,35843343
2025-12-03,3,3.05,2.92,2.95,2.95,28201680
2025-12-04,3.03,3.09,2.93,2.93,2.93,15856829
2025-12-05,3,3.07,2.94,2.98,2.98,14187007
2025-12-08,2.97,3.16,2.95,3.15,3.15,15161092
2025-12-09,3.1,3.19,3.06,3.13,3.13,13530351
2025-12-10,3.11,3.12,3.045,3.06,3.06,11380073
2025-12-11,3.11,3.2,2.975,3,3,17469887
2025-12-12,3,3.06,2.98,3.01,3.01,8983249
2025-12-15,2.98,3.05,2.93,3.03,3.03,8882651
2025-12-16,2.98,3.03,2.92,2.94,2.94,9458719
2025-12-17,3.03,3.08,2.94,2.94,2.94,15401458
2025-12-18,2.87,3.03,2.84,3.01,3.01,17684417
2025-12-19,3.07,3.14,3.04,3.11,3.11,19666874
2025-12-22,3.16,3.28,3.13,3.24,3.24,11069035
2025-12-23,3.27,3.335,3.26,3.31,3.31,9968027
2025-12-24,3.29,3.31,3.23,3.25,3.25,6057257
2025-12-29,3.26,3.36,3.26,3.32,3.32,6922968
2025-12-30,3.29,3.36,3.27,3.28,3.28,6934173
2025-12-31,3.29,3.33,3.275,3.29,3.29,3782558
2026-01-02,3.27,3.4,3.26,3.35,3.35,6194209
2026-01-05,3.37,3.4,3.12,3.16,3.16,15171939
2026-01-06,3.23,3.265,3.17,3.18,3.18,9209288
2026-01-07,3.21,3.27,3.16,3.19,3.19,8271262
2026-01-08,3.2,3.45,3.19,3.42,3.42,14831978
2026-01-09,3.43,3.62,3.425,3.56,3.56,18012569
2026-01-12,3.57,3.81,3.54,3.55,3.55,21310174
2026-01-13,3.58,3.6,3.21,3.28,3.28,26507935
2026-01-14,3.27,3.34,3.24,3.28,3.28,11412164
2026-01-15,3.26,3.28,3.07,3.08,3.08,21895218
2026-01-16,3.08,3.15,3.07,3.08,3.08,12750184
2026-01-19,3.1,3.12,3.015,3.06,3.06,12416321
2026-01-20,3.05,3.07,2.94,3.01,3.01,14081938
2026-01-21,2.9,2.96,2.86,2.88,2.88,14792257
2026-01-22,2.9,2.95,2.87,2.89,2.89,13805744
2026-01-23,2.92,3.07,2.915,3.04,3.04,15688163
2026-01-27,3.03,3.07,2.95,2.99,2.99,12036480
2026-01-28,3.01,3.02,2.82,2.87,2.87,18346066
2026-01-29,2.89,2.9,2.7,2.76,2.76,17444500
2026-01-30,2.72,2.76,2.62,2.65,2.65,19849640
2026-02-02,2.62,2.75,2.59,2.72,2.72,10516467
2026-02-03,2.77,2.795,2.71,2.77,2.77,11847409
2026-02-04,2.67,2.7,2.52,2.52,2.52,18566878
2026-02-05,2.55,2.59,2.41,2.46,2.46,24455359
2026-02-06,2.35,2.38,2.25,2.38,2.38,21231561
2026-02-09,2.5,2.58,2.435,2.47,2.47,21904901
2026-02-10,2.51,2.65,2.48,2.62,2.62,16393397
2026-02-11,2.61,2.8,2.59,2.76,2.76,17449982
2026-02-12,2.7,2.71,2.59,2.6,2.6,16156559
2026-02-13,2.47,2.515,2.36,2.38,2.38,17940609
2026-02-16,2.44,2.54,2.35,2.51,2.51,23344130
2026-02-17,2.52,2.66,2.48,2.61,2.61,15714371
2026-02-18,2.67,2.88,2.67,2.82,2.82,27848269
2026-02-19,2.17,2.28,1.715,1.85,1.85,218628186
2026-02-20,1.93,1.94,1.78,1.78,1.78,93496014
2026-02-23,1.81,1.835,1.69,1.71,1.71,59841456
2026-02-24,1.605,1.69,1.58,1.6,1.6,60975892
2026-02-25,1.67,1.76,1.645,1.75,1.75,39561669
2026-02-26,1.78,1.8575,1.76,1.845,1.845,32685410
2026-02-27,1.91,1.995,1.89,1.91,1.91,48127125
2026-03-02,1.765,1.805,1.735,1.75,1.75,26255187
2026-03-03,1.79,1.8075,1.675,1.695,1.695,25016762
2026-03-04,1.695,1.695,1.6025,1.62,1.62,23164304
2026-03-05,1.7,1.79,1.6825,1.78,1.78,33212824
2026-03-06,1.74,1.85,1.725,1.845,1.845,28625778
2026-03-09,1.75,1.76,1.647,1.695,1.695,33503488
2026-03-10,1.775,1.775,1.68,1.685,1.685,26731230
2026-03-11,1.7,1.73,1.665,1.71,1.71,21348029
2026-03-12,1.69,1.695,1.6,1.605,1.605,25537449
2026-03-13,1.565,1.635,1.53,1.62,1.62,31931289
2026-03-16,1.615,1.63,1.575,1.595,1.595,24919732
2026-03-17,1.61,1.615,1.5,1.54,1.54,33995661
2026-03-18,1.55,1.59,1.52,1.56,1.56,22197474
2026-03-19,1.5,1.5,1.435,1.48,1.48,40620366
2026-03-20,1.505,1.55,1.4425,1.445,1.445,36585164
2026-03-23,1.405,1.525,1.375,1.51,1.51,26132840
2026-03-24,1.57,1.59,1.4825,1.52,1.52,18825272
2026-03-25,1.535,1.66,1.53,1.645,1.645,25277536
2026-03-26,1.64,1.695,1.62,1.64,1.64,20776450
2026-03-27,1.6,1.605,1.545,1.58,1.58,21683056
2026-03-30,1.535,1.545,1.47,1.485,1.485,25736383
2026-03-31,1.5,1.595,1.46,1.55,1.55,28686661
2026-04-01,1.62,1.73,1.6,1.715,1.715,38592355
2026-04-02,1.715,1.72,1.555,1.575,1.575,36338543
2026-04-07,1.635,1.72,1.62,1.67,1.67,21333086
